DATE,days,NUT,CPOM,NOx,NH3,P
12-Jun,2,0,C,819.70653938619,216.981142778697,24.1090158642997
12-Jun,2,0,0,129730.614365797,-1542.97701531518,530.398349014594
12-Jun,2,0,0,138795.604330773,4050.31466520235,337.526222100196
12-Jun,2,0,C,2651.99174507297,2193.92044365127,578.616380743193
12-Jun,2,0,0,37151.9934468858,-1518.86799945088,626.834412471793
12-Jun,2,0,0,165315.521781503,-1301.88685667218,-96.4360634571988
12-Jun,2,0,C,1615.30406290808,-867.92457111479,192.872126914398
12-Jun,2,0,C,-795.59752352189,-699.161460064692,385.744253828795
12-Jun,2,N,0,166400.427495397,-3736.89745896645,458.071301421694
12-Jun,2,N,C,0,-1036.68768216489,48.2180317285994
12-Jun,2,N,0,34427.67465422,-4194.96876038815,578.616380743193
12-Jun,2,N,C,-602.725396607493,-2941.29993544456,168.763111050098
12-Jun,2,N,C,2362.68355470137,72.3270475928992,337.526222100196
12-Jun,2,N,0,165243.19473391,-4002.09663347375,289.308190371596
12-Jun,2,N,0,41829.14252456,-4122.64171279525,723.270475928991
12-Jun,2,N,C,-2169.81142778697,6822.85148959682,1470.64996772228
17-Jun,7,0,C,34145.7920407346,-1090.1614793519,245.4779995303
17-Jun,7,0,0,2444.31668241789,-990.591243832346,177.056612507417
17-Jun,7,0,0,3336.35026939698,-1049.36902450951,112.637322118008
17-Jun,7,0,C,-3174.91629916962,-890.490609963774,30.5702321159321
17-Jun,7,0,0,-29675.160792954,-2228.25168224204,94.9895225053408
17-Jun,7,0,0,2452.46552978002,-1842.07346612768,135.010488840078
17-Jun,7,0,C,-412.987441755453,-857.557694293141,36.9350123041071
17-Jun,7,0,C,-18744.6151803978,-818.645742688161,190.750533518339
17-Jun,7,N,0,2264.41520603849,-1152.3627402818,276.578629995246
17-Jun,7,N,C,17395.6675247585,-1568.24326394097,73.1467541322854
17-Jun,7,N,0,-37633.257621569,-961.997951017287,-12.0062899004212
17-Jun,7,N,C,13319.8455207718,-702.343850158779,-113.553464720852
17-Jun,7,N,C,18879.6256692379,-3261.66053824938,16.2976947242666
17-Jun,7,N,0,-37016.8383039506,162.109022671551,498.188703819889
17-Jun,7,N,0,1641.19714594634,-1067.64365853465,526.589124508034
17-Jun,7,N,C,15784.703084706,-791.49899082496,-2.55555568161578
24-Jun,14,0,C,-13082.5163686036,-675.190210005331,-51.868825559479
24-Jun,14,0,0,-2173.73775322773,-506.220450247824,38.3333352242365
24-Jun,14,0,0,-8248.6586878115,-540.661901482538,43.5339943606783
24-Jun,14,0,C,293.027867104946,-259.413010699865,1.54986530556214
24-Jun,14,0,0,18.2539691543986,1691.14413852692,312.693935759967
24-Jun,14,0,0,-9878.97922345792,12.7433369568442,64.1988651015067
24-Jun,14,0,C,-229.311182320725,-567.56067489685,-60.9613686854435
24-Jun,14,0,C,313.623854943304,-249.838287256614,84.7259700373962
24-Jun,14,N,0,-9589.73991598879,-354.092560144093,238.369283995455
24-Jun,14,N,C,-7576.22379390495,-556.436086148037,-1.3087751469191
24-Jun,14,N,0,-713.695752485741,-1439.10159839128,-147.684942894453
24-Jun,14,N,C,-172.000607466161,-1054.25282229459,-238.644815605332
24-Jun,14,N,C,-9641.12656123098,-984.818856605408,-0.516621768520699
24-Jun,14,N,0,-311.488484966752,-805.068922611437,-132.186289838832
24-Jun,14,N,0,-7110.12763434556,-1049.94764089025,18.9772396303273
24-Jun,14,N,C,-290.100343749995,-780.891023844668,-92.2686478577984
1-Jul,21,0,C,-7785.5244930583,38.6088668341142,68.7451366644889
1-Jul,21,0,0,-7850.9976918555,985.163271117756,361.566355062026
1-Jul,21,0,0,-7940.71767232193,737.012614971642,322.819722422973
1-Jul,21,0,C,-7894.04950589889,-141.795454733317,80.6963202429346
1-Jul,21,0,0,-6512.32736526464,25.762205523566,-94.369576383116
1-Jul,21,0,0,-8154.39243578209,-242.674465399794,65.2321086385481
1-Jul,21,0,C,-8032.4696984112,-738.424714472265,-174.067094540244
1-Jul,21,0,C,-8179.08695631738,-442.848179975951,-99.5702355195578
1-Jul,21,N,0,-10103.2963953496,-241.055717191762,143.620851648757
1-Jul,21,N,C,-9708.04630098003,203.445652443455,68.8829024694277
1-Jul,21,N,0,-9967.35598732619,-270.950896863494,135.561552059834
1-Jul,21,N,C,-9376.37512558974,221.768504500323,-71.2249211533883
1-Jul,21,N,C,-9258.8608939769,52.7987447428164,100.086857288078
1-Jul,21,N,0,-9331.63568043584,-597.869151983398,-93.3363328460746
1-Jul,21,N,0,-9625.62790817536,-372.346529298492,10.7801742364655
1-Jul,21,N,C,-9387.25862417991,64.3710723576802,-2.34201868396054
