BOD	CPOM	NUTS	DATE	NOx	NH3	P
RW0	0	0	10-Jun	0.034	0.084	0.008
RWN	0	N	10-Jun	0.184	0.195	0.012
1	C	0	12-Jun	0.068	0.093	0.009
2	0	N	12-Jun	7.086	0.040	0.031
3	0	0	12-Jun	5.415	0.020	0.030
4	C	N	12-Jun	0.184	0.152	0.014
5	0	0	12-Jun	5.791	0.252	0.022
6	C	0	12-Jun	0.144	0.175	0.032
7	0	N	12-Jun	1.612	0.021	0.036
8	0	0	12-Jun	1.575	0.021	0.034
9	0	0	12-Jun	6.891	0.030	0.004
10	C	N	12-Jun	0.159	0.073	0.019
11	C	N	12-Jun	0.282	0.198	0.026
12	C	0	12-Jun	0.101	0.048	0.016
13	C	0	12-Jun	0.001	0.055	0.024
14	0	N	12-Jun	7.038	0.029	0.024
15	0	N	12-Jun	1.919	0.024	0.042
16	C	N	12-Jun	0.094	0.478	0.073
RW0	0	0	12-Jun	0.030	0.216	0.032
RWN	0	N	12-Jun	0.145	0.226	0.027
1	C	0	17-Jun	3.593	0.031	0.044
2	0	N	17-Jun	0.388	0.017	0.051
3	0	0	17-Jun	0.325	0.015	0.041
4	C	N	17-Jun	2.029	0.047	0.034
5	0	0	17-Jun	0.359	0.013	0.039
6	C	0	17-Jun	2.851	0.009	0.034
7	0	N	17-Jun	0.275	0.011	0.024
8	0	0	17-Jun	0.323	0.006	0.036
9	0	0	17-Jun	0.351	0.001	0.046
10	C	N	17-Jun	2.564	0.035	0.024
11	C	N	17-Jun	2.078	0.010	0.051
12	C	0	17-Jun	0.891	0.013	0.037
13	C	0	17-Jun	2.443	0.013	0.034
14	0	N	17-Jun	0.367	0.134	0.081
15	0	N	17-Jun	0.338	0.072	0.074
16	C	N	17-Jun	2.640	0.024	0.032
RW0	0	0	17-Jun	0.049	0.219	0.026
RWN	0	N	17-Jun	0.256	0.342	0.037
1	C	0	24-Jun	0.223	0.011	0.029
2	0	N	24-Jun	0.214	0.111	0.064
3	0	0	24-Jun	0.226	0.025	0.038
4	C	N	24-Jun	0.222	0.067	0.045
5	0	0	24-Jun	0.252	0.020	0.037
6	C	0	24-Jun	0.253	0.062	0.035
7	0	N	24-Jun	0.209	0.027	0.038
8	0	0	24-Jun	0.233	0.344	0.079
9	0	0	24-Jun	0.254	0.098	0.040
10	C	N	24-Jun	0.279	0.031	0.024
11	C	N	24-Jun	0.251	0.013	0.034
12	C	0	24-Jun	0.176	0.012	0.023
13	C	0	24-Jun	0.241	0.077	0.048
14	0	N	24-Jun	0.288	0.035	0.026
15	0	N	24-Jun	0.261	0.017	0.038
16	C	N	24-Jun	0.225	0.035	0.016
RW0	0	0	24-Jun	2.920	0.024	0.017
RWN	0	N	24-Jun	3.488	0.084	0.034
1	C	0	1-Jul	0.212	0.022	0.034
2	0	N	1-Jul	0.144	0.018	0.049
3	0	0	1-Jul	0.175	0.160	0.073
4	C	N	1-Jul	0.185	0.072	0.044
5	0	0	1-Jul	0.200	0.162	0.082
6	C	0	1-Jul	0.198	0.004	0.041
7	0	N	1-Jul	0.169	0.016	0.049
8	0	0	1-Jul	0.147	0.025	0.017
9	0	0	1-Jul	0.176	0.011	0.037
10	C	N	1-Jul	0.239	0.077	0.026
11	C	N	1-Jul	0.235	0.063	0.038
12	C	0	1-Jul	0.182	0.104	0.028
13	C	0	1-Jul	0.173	0.003	0.016
14	0	N	1-Jul	0.218	0.013	0.038
15	0	N	1-Jul	0.180	0.020	0.042
16	C	N	1-Jul	0.207	0.060	0.036
RW0	0	0	1-Jul	0.893	0.076	0.042
RWN	0	N	1-Jul	0.809	0.021	0.032
