bod,vialT0,vialTF,CPOM,Nutrient,temp,pressure,time0,RmeasT0,timeF,RmeasTF,A,Replvol,BODwatervol
8,1,1,no,no,23.6,29.9,2014-07-01 09:44,6.23,2014-07-01 14:21,5.41,0.0028,83,200
6,3,3,no,no,23.6,29.9,2014-07-01 09:52,5.52,2014-07-01 14:24,4.1,0.0028,83,200
13,5,5,yes,no,23.6,29.9,2014-07-01 09:59,5.56,2014-07-01 14:26,4.19,0.0028,83,200
3,7,7,yes,no,23.6,29.9,2014-07-01 10:04,6.06,2014-07-01 14:29,4.92,0.0028,83,200
12,9,9,yes,no,23.6,29.9,2014-07-01 10:10,6.22,2014-07-01 14:31,4.81,0.0028,83,200
5,11,11,yes,no,23.6,29.9,2014-07-01 10:17,6.81,2014-07-01 14:33,4.9,0.0028,83,200
1,13,13,no,no,23.6,29.9,2014-07-01 10:22,6.16,2014-07-01 14:35,4.55,0.0028,83,200
9,15,15,no,no,23.6,29.9,2014-07-01 10:29,6.44,2014-07-01 14:38,5.09,0.0028,83,200
7,18,18,yes,yes,23.6,29.9,2014-07-01 10:40,6.7,2014-07-01 14:40,4.81,0.0028,83,200
11,20,20,no,yes,23.6,29.9,2014-07-01 10:46,6.55,2014-07-01 14:42,4.19,0.0028,83,200
14,22,22,yes,yes,23.6,29.9,2014-07-01 10:49,5.9,2014-07-01 14:45,4.85,0.0028,83,200
16,24,24,yes,yes,23.6,29.9,2014-07-01 11:00,6.07,2014-07-01 14:50,4.52,0.0028,83,200
2,26,26,no,yes,23.6,29.9,2014-07-01 11:09,6.57,2014-07-01 14:52,5.13,0.0028,83,200
4,28,28,yes,yes,23.6,29.9,2014-07-01 11:14,5.8,2014-07-01 14:54,4.5,0.0028,83,200
10,30,30,no,yes,23.6,29.9,2014-07-01 11:21,6.48,2014-07-01 14:56,4.44,0.0028,83,200
15,32,32,no,yes,23.6,29.9,2014-07-01 11:26,6.45,2014-07-01 14:59,5.03,0.0028,83,200
