vial,vol
1,9.54233333333333
2,9.48153333333333
3,9.55923333333333
4,9.55496666666667
5,9.55216666666667
6,9.4877
7,9.44303333333333
8,9.4866
9,9.52793333333333
10,9.55776666666667
11,9.55823333333333
12,9.47773333333333
13,9.4699
14,9.45576666666667
15,9.5311
16,9.52073333333334
17,9.52663333333333
18,9.53236666666667
19,9.4832
20,9.51653333333333
21,9.55133333333333
22,9.52216666666667
23,9.5236
24,9.48466666666667
25,9.58846666666667
26,9.4888
27,9.5042
28,9.50556666666666
29,9.49993333333333
30,9.41593333333334
31,9.51853333333333
32,9.44023333333333
33,9.4602
34,9.50473333333334
36,9.49043333333333
37,9.45306666666666
38,9.54186666666667
39,9.46193333333333
40,9.5147
