bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR
3,no,no,25.3,0.216057675632945,0.203498647427226,0.0125590282057191,0.000516124446810374
5,no,no,25.3,0.207485759921914,0.198405770726872,0.00907998919504163,0.000375723690829309
9,no,no,25.3,0.212108854946327,0.17085222852085,0.0412566264254769,0.00171545224222357
12,yes,no,25.3,0.177321340004791,0.179099230601634,-0.00177789059684341,-7.41302542116781e-05
6,yes,no,25.3,0.198103702083344,0.17735225854728,0.020751443536064,0.00087374499099217
1,yes,no,25.3,0.236895095021366,0.208679400171782,0.0282156948495844,0.00119305263634606
13,yes,no,25.3,0.209103913106663,0.201312120998234,0.00779179210842912,0.000330627670796144
8,no,no,25.3,0.224151457740169,0.216306600243971,0.00784485749619843,0.000334297904667547
7,no,yes,25.3,0.227851302768303,0.208948769109221,0.0189025336590825,0.000811267539016416
4,yes,yes,25.3,0.201708255219778,0.151018504898763,0.0506897503210146,0.00218490303107821
16,yes,yes,25.3,0.191130822696051,0.177610112941902,0.0135207097541495,0.000585312110569241
10,yes,yes,25.3,0.186651555786483,0.115546376214509,0.0711051795719744,0.00309152954660758
11,yes,yes,25.3,0.223670165495517,0.180325472915518,0.0433446925799985,0.00189278133537111
15,no,yes,25.3,0.234865094711324,0.209356292072536,0.0255088026387883,0.00111880713328019
2,no,yes,25.3,0.224300245040583,0.228850807243073,-0.00455056220248973,-0.000200465295263865
14,no,yes,25.3,0.210150014778244,0.202787490634618,0.00736252414362565,0.000326015829238036
